SampleID	GroupID	IsoID	Norm_GFP_I	Norm_tdTom_I	Group	UniqueID
Co_P1_Ep_GFP_10	NSC (ii)	3c	436.5409389	0.745128787	2	1_CS95_3c
Co_P1_Ep_GFP_11	SC	3c	141.193042	0.819958827	3	1_CS82_3c
Co_P1_Ep_GFP_20	SC	3c	391.3305505	0.610137379	3	1_B02-CS89_3c
Co_P1_Ep_GFP_36	SC	5c	589.5182767	2.199505025	3	1_G4-CS87_5c
Co_P1_Ep_GFP_31	SC	5c	609.3866577	1.758289762	3	1_A2-CS2_5c
Co_P1_Ep_GFP_26	SC	5c	647.1583676	1.447874485	3	1_G9-CS42_5c
Co_P1_Ep_GFP_38	SC	5c	670.1136845	1.430038123	3	1_E12-CS76_5c
Co_P1_Ep_GFP_37	SC	5c	671.8700541	2.093425611	3	1_H12-CS94_5c
Co_P1_Ep_GFP_22	SC	3c	678.5477862	0.79676647	3	1_D02-CS77_3c
Co_P1_Ep_GFP_2	SC	3c	683.2207383	1.356059068	3	1_CS23_3c
Co_P1_Ep_GFP_39	SC	5c	723.5296187	2.011440931	3	1_H7-CS46_5c
Co_P1_Ep_GFP_35	SC	5c	857.7371393	0.991639127	3	1_G2-CS38_5c
Co_P1_Ep_GFP_28	SC	5c	860.5748635	1.146846766	3	1_D4-CS67_5c
Co_P1_Ep_GFP_40	SC	5c	886.2909114	2.023957676	3	1_C10-CS64_5c
Co_P1_Ep_GFP_34	SC	5c	895.187695	2.24393947	3	1_F6-CS79_5c
Co_P1_Ep_GFP_18	SC	3c	944.6850572	1.020761024	3	1_H01-CS54_3c
Co_P1_Ep_GFP_9	SC	3c	945.9539389	1.322459884	3	1_CS94_3c
Co_P1_Ep_GFP_23	SC	3c	1000	1.131866288	3	1_D05-CS29_3c
Co_P1_Ep_GFP_25	SC	5c	1000	2.125343311	3	1_C1-CS15_5c
Co_P1_Ep_tdTom_7	HC	5c	2.546381802	268.9228934	4	1_D8-CS23_5c
Co_P1_Ep_tdTom_6	HC	5c	5.0939339	648.2416007	4	1_G6-CS85_5c
Co_P1_Ep_tdTom_2	HC	3c	8.110570371	810.3854381	4	1_CS5_3c
Co_P1_Ep_tdTom_4	HC	3c	9.28373634	663.3568002	4	1_G09-CS55_3c
Co_P1_Ep_tdTom_3	HC	3c	12.30159507	647.8746138	4	1_A09-CS93_3c
Co_P1_Ep_tdTom_1	HC	3c	16.05472795	323.0828073	4	1_CS46_3c
Co_P1_Ep_tdTom_9	HC	5c	16.14449548	1000	4	1_F12-CS82_5c
Co_P1_Ep_tdTom_0	HC	3c	17.39519121	1000	4	1_CS32_3c
Co_P1_Ep_tdTom_8	HC	5c	17.57182683	775.3109707	4	1_E9-CS30_5c
Co_P1_Ep_tdTom_5	HC	5c	68.83761714	390.8306707	4	1_E3-CS27_5c
